iter	Logloss
0	0.5710418766
1	0.4863194073
2	0.4189554874
3	0.354468188
4	0.3183032356
5	0.2943212751
6	0.2692174309
7	0.247400949
8	0.2245753092
9	0.2084467273
10	0.1933193834
11	0.182812348
12	0.1741710462
13	0.1700070611
14	0.1664196142
15	0.1581013691
16	0.1521637283
17	0.149728748
18	0.146676036
19	0.1434644726
20	0.1409091537
21	0.1393468363
22	0.1371394848
23	0.1356561602
24	0.1280203748
25	0.1250871463
26	0.1233091153
27	0.1209552587
28	0.1195674619
29	0.1180373995
30	0.1173523126
31	0.1162681844
32	0.1155329228
33	0.1150455449
34	0.1142209644
35	0.1137665299
36	0.1126890942
37	0.112022164
38	0.111258301
39	0.1087398932
40	0.1068495338
41	0.1060587434
42	0.1050892445
43	0.1040716523
44	0.1026515505
45	0.1019767913
46	0.1011318321
47	0.09962617904
48	0.09839989868
49	0.09791960897
50	0.09668770986
51	0.09601112825
52	0.09538369824
53	0.09443546778
54	0.0934204796
55	0.09293952238
56	0.09253248095
57	0.09185751273
58	0.09145737665
59	0.09078479483
60	0.09007111223
61	0.08947807115
