iter	Passed	Remaining
0	55	27639
1	60	14945
2	65	10873
3	70	8762
4	75	7457
5	79	6539
6	84	5970
7	89	5523
8	93	5122
9	100	4906
10	104	4629
11	108	4398
12	111	4185
13	115	4014
14	119	3852
15	122	3716
16	126	3601
17	130	3484
18	133	3373
19	136	3281
20	139	3193
21	143	3114
22	146	3047
23	150	2978
24	153	2918
25	157	2870
26	160	2813
27	163	2759
28	169	2752
29	172	2710
30	177	2685
31	181	2649
32	187	2659
33	201	2757
34	205	2734
35	209	2703
36	213	2673
37	218	2661
38	223	2642
39	227	2616
40	230	2584
41	234	2556
42	238	2531
43	245	2539
44	248	2516
45	251	2486
46	256	2476
47	260	2450
48	264	2429
49	267	2407
50	271	2386
51	274	2362
52	277	2340
53	281	2325
54	285	2306
55	288	2290
56	292	2270
57	296	2261
58	301	2254
59	305	2242
60	309	2224
61	312	2208
